Year,Player,Tm,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,W/L%
1982,Kelly Tripucka,DET,0.02,82,37.5,21.6,5.4,3.3,1.1,0.2,0.496,0.227,0.797,0.117,0.476
1982,Alex English,DEN,0.017,82,36.8,25.4,6.8,5.3,1.1,1.5,0.551,0.0,0.84,0.152,0.561
1982,Bernard King,GSW,0.014,79,36.2,23.2,5.9,3.6,1.0,0.3,0.566,0.2,0.705,0.147,0.549
1982,Adrian Dantley,UTA,0.01,81,39.8,30.3,6.3,4.0,1.2,0.2,0.57,0.333,0.792,0.187,0.305
1982,Ray Williams,NJN,0.009,82,33.3,20.4,4.0,6.0,2.4,0.5,0.462,0.167,0.832,0.139,0.537
1982,Michael Cooper,LAL,0.004,76,28.9,11.9,3.5,3.0,1.6,0.8,0.517,0.118,0.813,0.109,0.695
1982,Dan Issel,DEN,0.004,81,30.5,22.9,7.5,2.2,0.8,0.7,0.527,0.667,0.834,0.19,0.561
1982,Marques Johnson,MIL,0.004,60,31.7,16.5,6.1,3.6,1.0,0.6,0.532,0.0,0.7,0.158,0.671
1982,Isiah Thomas,DET,0.004,72,33.8,17.0,2.9,7.8,2.1,0.2,0.424,0.288,0.704,0.046,0.476
1982,Dennis Johnson,PHO,0.001,80,36.7,19.5,5.1,4.6,1.3,0.7,0.47,0.19,0.806,0.132,0.561
1982,Mychal Thompson,POR,0.001,79,39.6,20.8,11.7,4.0,0.9,1.4,0.523,,0.628,0.125,0.512
1982,Jay Vincent,DAL,0.001,81,32.4,21.4,7.0,2.2,1.1,0.3,0.497,0.25,0.716,0.102,0.341
1982,Jamaal Wilkes,LAL,0.001,82,35.4,21.1,4.8,1.7,1.1,0.3,0.525,0.0,0.732,0.127,0.695
1982,Buck Williams,NJN,0.001,82,34.5,15.5,12.3,1.3,1.0,1.0,0.582,0.0,0.624,0.152,0.537
1983,Moses Malone,PHI,0.96,78,37.5,24.5,15.3,1.3,1.1,2.0,0.501,0.0,0.761,0.248,0.793
1983,Larry Bird,BOS,0.485,79,37.7,23.6,11.0,5.8,1.9,0.9,0.504,0.286,0.84,0.225,0.683
1983,Magic Johnson,LAL,0.406,79,36.8,16.8,8.6,10.5,2.2,0.6,0.548,0.0,0.8,0.207,0.707
1983,Sidney Moncrief,MIL,0.301,76,35.7,22.5,5.8,3.9,1.5,0.3,0.524,0.1,0.826,0.233,0.622
1983,Julius Erving,PHI,0.149,72,33.6,21.4,6.8,3.7,1.6,1.8,0.517,0.286,0.759,0.217,0.793
1983,Alex English,DEN,0.056,82,36.4,28.4,7.3,4.8,1.4,1.5,0.516,0.167,0.829,0.166,0.549
1983,Buck Williams,NJN,0.053,82,36.1,17.0,12.5,1.5,1.1,1.3,0.588,0.0,0.62,0.185,0.598
1983,Artis Gilmore,SAS,0.044,82,34.1,18.0,12.0,1.5,0.5,2.3,0.626,0.0,0.74,0.189,0.646
1983,George Gervin,SAS,0.04,78,36.3,26.2,4.6,3.4,1.1,0.9,0.487,0.364,0.853,0.159,0.646
1983,Kareem Abdul-Jabbar,LAL,0.02,79,32.3,21.8,7.5,2.5,0.8,2.2,0.588,0.0,0.749,0.205,0.707
1983,Jack Sikma,SEA,0.017,75,34.2,18.2,11.4,3.1,1.2,0.9,0.464,0.0,0.837,0.183,0.585
1983,Jeff Ruland,WSB,0.016,79,36.2,19.4,11.0,3.0,0.9,1.0,0.552,0.333,0.689,0.169,0.512
