Year,Player,Tm,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,W/L%
1991,Terry Porter,POR,0.026,81,32.9,17.0,3.5,8.0,2.0,0.1,0.515,0.415,0.823,0.235,0.768
1991,Patrick Ewing,NYK,0.021,81,38.3,26.6,11.2,3.0,1.0,3.2,0.514,0.0,0.745,0.155,0.476
1991,John Stockton,UTA,0.016,82,37.8,17.2,2.9,14.2,2.9,0.2,0.507,0.345,0.836,0.217,0.659
1991,Isiah Thomas,DET,0.011,48,34.5,16.2,3.3,9.3,1.6,0.2,0.435,0.292,0.782,0.098,0.61
1991,Robert Parish,BOS,0.01,81,30.1,14.9,10.6,0.8,0.8,1.3,0.598,0.0,0.767,0.198,0.683
1991,Joe Dumars,DET,0.008,80,38.1,20.4,2.3,5.5,1.1,0.1,0.481,0.311,0.89,0.155,0.61
1991,Bernard King,WSB,0.007,64,37.5,28.4,5.0,4.6,0.9,0.3,0.472,0.216,0.79,0.07,0.366
1991,Kenny Smith,HOU,0.005,78,34.6,17.7,2.1,7.1,1.4,0.1,0.52,0.363,0.844,0.161,0.634
1991,Hakeem Olajuwon,HOU,0.004,56,36.8,21.2,13.8,2.3,2.2,3.9,0.508,0.0,0.769,0.201,0.634
1991,Tim Hardaway,GSW,0.001,82,39.2,22.9,4.0,9.7,2.6,0.1,0.476,0.385,0.803,0.148,0.537
1991,Kevin McHale,BOS,0.001,68,30.4,18.4,7.1,1.9,0.4,2.1,0.553,0.405,0.829,0.182,0.683
1992,Michael Jordan,CHI,0.938,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,0.274,0.817
1992,Clyde Drexler,POR,0.584,76,36.2,25.0,6.6,6.7,1.8,0.9,0.47,0.337,0.794,0.223,0.695
1992,David Robinson,SAS,0.351,68,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,0.26,0.573
1992,Karl Malone,UTA,0.273,81,37.7,28.0,11.2,3.0,1.3,0.6,0.526,0.176,0.778,0.237,0.671
1992,Patrick Ewing,NYK,0.104,82,38.4,24.0,11.2,1.9,1.1,3.0,0.522,0.167,0.738,0.198,0.622
1992,Chris Mullin,GSW,0.084,81,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,0.155,0.671
1992,Mark Price,CLE,0.069,72,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,0.205,0.695
1992,Tim Hardaway,GSW,0.067,81,41.1,23.4,3.8,10.0,2.0,0.2,0.461,0.338,0.766,0.132,0.671
1992,Scottie Pippen,CHI,0.033,82,38.6,21.0,7.7,7.0,1.9,1.1,0.506,0.2,0.76,0.192,0.817
1992,Dennis Rodman,DET,0.027,82,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,0.183,0.585
1992,Brad Daugherty,CLE,0.025,73,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0.0,0.777,0.213,0.695
1992,Charles Barkley,PHI,0.019,75,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,0.205,0.427
1992,John Stockton,UTA,0.019,82,36.6,15.8,3.3,13.7,3.0,0.3,0.482,0.407,0.842,0.215,0.671
1992,Larry Bird,BOS,0.003,45,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,0.159,0.622
1992,Kevin Johnson,PHO,0.002,78,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,0.165,0.646
1992,Danny Manning,LAC,0.001,82,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0.0,0.725,0.162,0.549
1992,Detlef Schrempf,IND,0.001,80,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,0.181,0.488
1993,Charles Barkley,PHO,0.852,76,37.6,25.6,12.2,5.1,1.6,1.0,0.52,0.305,0.765,0.242,0.756
1993,Hakeem Olajuwon,HOU,0.66,82,39.5,26.1,13.0,3.5,1.8,4.2,0.529,0.0,0.779,0.234,0.671
1993,Michael Jordan,CHI,0.577,78,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,0.27,0.695
1993,Patrick Ewing,NYK,0.366,81,37.1,24.2,12.1,1.9,0.9,2.0,0.503,0.143,0.719,0.17,0.732
1993,Dominique Wilkins,ATL,0.055,71,37.3,29.9,6.8,3.2,1.0,0.4,0.468,0.38,0.828,0.191,0.524
1993,David Robinson,SAS,0.034,82,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,0.197,0.598
1993,Shaquille O'Neal,ORL,0.031,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0.0,0.592,0.163,0.5
1993,Karl Malone,UTA,0.01,82,37.8,27.0,11.2,3.8,1.5,1.0,0.552,0.2,0.74,0.238,0.573
1993,Mark Price,CLE,0.01,75,31.7,18.2,2.7,8.0,1.2,0.1,0.484,0.416,0.948,0.197,0.659
1993,Brad Daugherty,CLE,0.001,71,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,0.226,0.659
1993,Clyde Drexler,POR,0.001,49,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,0.171,0.622
1993,Joe Dumars,DET,0.001,77,40.2,23.5,1.9,4.0,1.0,0.1,0.466,0.375,0.864,0.141,0.488
1993,Shawn Kemp,SEA,0.001,78,33.1,17.8,10.7,2.0,1.5,1.9,0.492,0.0,0.712,0.169,0.671
1993,John Stockton,UTA,0.001,82,34.9,15.1,2.9,12.0,2.4,0.3,0.486,0.385,0.798,0.177,0.573
1994,Hakeem Olajuwon,HOU,0.88,80,41.0,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,0.21,0.707
1994,David Robinson,SAS,0.723,80,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,0.296,0.671
1994,Scottie Pippen,CHI,0.386,72,38.3,22.0,8.7,5.6,2.9,0.8,0.491,0.32,0.66,0.194,0.671
1994,Shaquille O'Neal,ORL,0.286,81,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0.0,0.554,0.252,0.61
1994,Patrick Ewing,NYK,0.252,79,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,0.211,0.695
1994,Gary Payton,SEA,0.02,82,35.1,16.5,3.3,6.0,2.3,0.2,0.504,0.278,0.595,0.155,0.768
1994,Shawn Kemp,SEA,0.017,79,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,0.216,0.768
1994,Karl Malone,UTA,0.017,82,40.6,25.2,11.5,4.0,1.5,1.5,0.497,0.25,0.694,0.193,0.646
1994,Mark Price,CLE,0.007,76,31.4,17.3,3.0,7.8,1.4,0.1,0.478,0.397,0.888,0.201,0.573
1994,Charles Barkley,PHO,0.005,65,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,0.185,0.683
1994,Mookie Blaylock,ATL,0.001,81,36.0,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,0.168,0.695
1994,Kevin Johnson,PHO,0.001,67,36.6,20.0,2.5,9.5,1.9,0.1,0.487,0.222,0.819,0.17,0.683
1994,Dennis Rodman,SAS,0.001,79,37.8,4.7,17.3,2.3,0.7,0.4,0.534,0.208,0.52,0.14,0.671
1994,Latrell Sprewell,GSW,0.001,82,43.1,21.0,4.9,4.7,2.2,0.9,0.433,0.361,0.774,0.108,0.61
1994,John Stockton,UTA,0.001,82,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,0.214,0.646
1994,Dominique Wilkins,TOT,0.001,74,35.6,26.0,6.5,2.3,1.2,0.4,0.44,0.288,0.847,0.153,
1994,Kevin Willis,ATL,0.001,80,35.8,19.1,12.0,1.9,1.0,0.5,0.499,0.375,0.713,0.17,0.695
1995,David Robinson,SAS,0.858,81,38.0,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,0.273,0.756
1995,Shaquille O'Neal,ORL,0.576,79,37.0,29.3,11.4,2.7,0.9,2.4,0.583,0.0,0.533,0.23,0.695
1995,Karl Malone,UTA,0.507,82,38.1,26.7,10.6,3.5,1.6,1.0,0.536,0.268,0.742,0.212,0.732
1995,Patrick Ewing,NYK,0.219,79,37.0,23.9,11.0,2.7,0.9,2.0,0.503,0.286,0.75,0.157,0.671
1995,Hakeem Olajuwon,HOU,0.14,72,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,0.181,0.573
1995,Charles Barkley,PHO,0.091,68,35.0,23.0,11.1,4.1,1.6,0.7,0.486,0.338,0.748,0.214,0.72
1995,Scottie Pippen,CHI,0.079,79,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,0.188,0.573
1995,John Stockton,UTA,0.045,82,35.0,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,0.233,0.732
1995,Gary Payton,SEA,0.032,82,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,0.187,0.695
1995,Anfernee Hardaway,ORL,0.022,77,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,0.177,0.695
1995,Michael Jordan,CHI,0.011,17,39.3,26.9,6.9,5.3,1.8,0.8,0.411,0.5,0.801,0.167,0.573
1995,Dennis Rodman,SAS,0.009,49,32.0,7.1,16.8,2.0,0.6,0.5,0.571,0.0,0.676,0.178,0.756
1995,Jason Kidd,DAL,0.007,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,0.066,0.439
1995,Clyde Drexler,TOT,0.003,76,35.9,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.824,0.206,
1995,Cedric Ceballos,LAL,0.001,58,35.0,21.7,8.0,1.8,1.0,0.3,0.509,0.397,0.716,0.123,0.585
1996,Michael Jordan,CHI,0.986,82,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,0.317,0.878
1996,David Robinson,SAS,0.508,82,36.8,25.0,12.2,3.0,1.4,3.3,0.516,0.333,0.761,0.29,0.72
1996,Anfernee Hardaway,ORL,0.319,82,36.8,21.7,4.3,7.1,2.0,0.5,0.513,0.314,0.767,0.229,0.732
1996,Hakeem Olajuwon,HOU,0.211,72,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,0.166,0.585
1996,Scottie Pippen,CHI,0.2,77,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,0.209,0.878
1996,Gary Payton,SEA,0.087,81,39.0,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,0.174,0.78
1996,Karl Malone,UTA,0.075,82,38.0,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,0.233,0.671
1996,Shawn Kemp,SEA,0.065,79,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,0.205,0.78
1996,Grant Hill,DET,0.056,80,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,0.172,0.561
1996,Shaquille O'Neal,ORL,0.056,54,36.0,26.6,11.0,2.9,0.6,2.1,0.573,0.5,0.487,0.171,0.732
1996,John Stockton,UTA,0.011,82,35.5,14.7,2.8,11.2,1.7,0.2,0.538,0.422,0.83,0.214,0.671
1996,Charles Barkley,PHO,0.007,71,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,0.191,0.5
1996,Magic Johnson,LAL,0.007,32,29.9,14.6,5.7,6.9,0.8,0.4,0.466,0.379,0.856,0.181,0.646
1996,Alonzo Mourning,MIA,0.005,70,38.2,23.2,10.4,2.3,1.0,2.7,0.523,0.3,0.685,0.178,0.512
1996,Dennis Rodman,CHI,0.004,64,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,0.143,0.878
1996,Terrell Brandon,CLE,0.003,75,34.3,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,0.237,0.573
1996,Mitch Richmond,SAC,0.003,81,36.4,23.1,3.3,3.1,1.5,0.2,0.447,0.437,0.866,0.151,0.476
1997,Karl Malone,UTA,0.857,82,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0.0,0.755,0.268,0.78
1997,Michael Jordan,CHI,0.832,82,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,0.283,0.841
1997,Grant Hill,DET,0.327,80,39.3,21.4,9.0,7.3,1.8,0.6,0.496,0.303,0.711,0.223,0.659
1997,Tim Hardaway,MIA,0.207,81,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,0.198,0.744
1997,Glen Rice,CHH,0.117,79,42.6,26.8,4.0,2.0,0.9,0.3,0.477,0.47,0.867,0.154,
1997,Gary Payton,SEA,0.091,82,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,0.193,0.695
1997,Hakeem Olajuwon,HOU,0.083,78,36.6,23.2,9.2,3.0,1.5,2.2,0.51,0.313,0.787,0.154,0.695
1997,Patrick Ewing,NYK,0.05,78,37.0,22.4,10.7,2.0,0.9,2.4,0.488,0.222,0.754,0.163,0.695
1997,Anthony Mason,CHH,0.006,73,43.1,16.2,11.4,5.7,1.0,0.5,0.525,0.333,0.745,0.173,
1997,Shaquille O'Neal,LAL,0.006,51,38.1,26.2,12.5,3.1,0.9,2.9,0.557,0.0,0.484,0.197,0.683
1997,Scottie Pippen,CHI,0.005,82,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,0.203,0.841
1997,Alonzo Mourning,MIA,0.004,66,35.2,19.8,9.9,1.6,0.8,2.9,0.534,0.111,0.642,0.174,0.744
1997,Dikembe Mutombo,ATL,0.003,80,37.2,13.3,11.6,1.4,0.6,3.3,0.527,,0.705,0.183,0.683
1997,Mitch Richmond,SAC,0.003,81,38.6,25.9,3.9,4.2,1.5,0.3,0.454,0.428,0.861,0.166,0.415
1997,John Stockton,UTA,0.003,82,35.3,14.4,2.8,10.5,2.0,0.2,0.548,0.422,0.846,0.226,0.78
1997,Charles Barkley,HOU,0.002,53,37.9,19.2,13.5,4.7,1.3,0.5,0.484,0.283,0.694,0.224,0.695
1997,Tom Gugliotta,MIN,0.001,81,38.7,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,0.103,0.488
1997,Allen Iverson,PHI,0.001,76,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,0.065,0.268
1997,Kevin Johnson,PHO,0.001,70,38.0,20.1,3.6,9.3,1.5,0.2,0.496,0.441,0.852,0.211,0.488
1997,Steve Smith,ATL,0.001,72,39.1,20.1,3.3,4.2,0.9,0.3,0.429,0.335,0.847,0.154,0.683
1998,Michael Jordan,CHI,0.934,82,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,0.238,0.756
1998,Karl Malone,UTA,0.726,81,37.4,27.0,10.3,3.9,1.2,0.9,0.53,0.333,0.761,0.259,0.756
1998,Gary Payton,SEA,0.372,82,38.4,19.2,4.6,8.3,2.3,0.2,0.453,0.338,0.744,0.19,0.744
1998,Shaquille O'Neal,LAL,0.268,60,36.3,28.3,11.4,2.4,0.7,2.4,0.584,,0.527,0.224,0.744
1998,Tim Duncan,SAS,0.128,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0.0,0.662,0.192,0.683
1998,Tim Hardaway,MIA,0.061,81,37.4,18.9,3.7,8.3,1.7,0.2,0.431,0.351,0.781,0.185,0.671
1998,David Robinson,SAS,0.031,73,33.7,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,0.269,0.683
1998,Vin Baker,SEA,0.021,82,35.9,19.2,8.0,1.9,1.1,1.0,0.542,0.143,0.591,0.169,0.744
1998,Grant Hill,DET,0.02,81,40.7,21.1,7.7,6.8,1.8,0.7,0.452,0.143,0.74,0.149,0.451
1998,Scottie Pippen,CHI,0.012,44,37.5,19.1,5.2,5.8,1.8,1.0,0.447,0.318,0.777,0.193,0.756
1998,Glen Rice,CHH,0.006,82,40.2,22.3,4.3,2.2,0.9,0.3,0.457,0.433,0.849,0.136,
1998,Antoine Walker,BOS,0.005,82,39.9,22.4,10.2,3.3,1.7,0.7,0.423,0.312,0.645,0.07,0.439
1998,Jason Kidd,PHO,0.004,82,38.0,11.6,6.2,9.1,2.0,0.3,0.416,0.313,0.799,0.123,0.683
1998,John Stockton,UTA,0.004,64,29.0,12.0,2.6,8.5,1.4,0.2,0.528,0.429,0.827,0.206,0.756
1998,Mitch Richmond,SAC,0.003,70,36.7,23.2,3.3,4.0,1.3,0.2,0.445,0.389,0.864,0.148,0.329
1998,Reggie Miller,IND,0.002,81,34.5,19.5,2.9,2.1,1.0,0.1,0.477,0.429,0.868,0.206,0.707
1998,Rik Smits,IND,0.002,73,28.6,16.7,6.9,1.4,0.5,1.2,0.495,0.0,0.783,0.141,0.707
1998,Michael Finley,DAL,0.001,82,41.4,21.5,5.3,4.9,1.6,0.4,0.449,0.357,0.784,0.106,0.244
1998,Rod Strickland,WAS,0.001,76,39.7,17.8,5.3,10.5,1.7,0.3,0.434,0.25,0.726,0.129,0.512
1999,Karl Malone,UTA,0.701,49,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0.0,0.788,0.252,0.74
1999,Alonzo Mourning,MIA,0.655,46,38.1,20.1,11.0,1.6,0.7,3.9,0.511,0.0,0.652,0.216,0.66
1999,Tim Duncan,SAS,0.627,50,39.3,21.7,11.4,2.4,0.9,2.5,0.495,0.143,0.69,0.213,0.74
1999,Allen Iverson,PHI,0.27,48,41.5,26.8,4.9,4.6,2.3,0.1,0.412,0.291,0.751,0.173,0.56
1999,Jason Kidd,PHO,0.135,50,41.2,16.9,6.8,10.8,2.3,0.4,0.444,0.366,0.757,0.188,0.54
1999,Shaquille O'Neal,LAL,0.075,49,34.8,26.3,10.7,2.3,0.7,1.7,0.576,0.0,0.54,0.255,0.62
1999,Chris Webber,SAC,0.043,42,40.9,20.0,13.0,4.1,1.4,2.1,0.486,0.118,0.454,0.102,0.54
1999,Grant Hill,DET,0.033,50,37.0,21.1,7.1,6.0,1.6,0.5,0.479,0.0,0.752,0.189,0.58
1999,Gary Payton,SEA,0.03,50,40.2,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,0.172,0.5
1999,Kevin Garnett,MIN,0.008,47,37.9,20.8,10.4,4.3,1.7,1.8,0.46,0.286,0.704,0.146,0.5
1999,Shawn Kemp,CLE,0.006,42,35.1,20.5,9.2,2.4,1.1,1.1,0.482,0.5,0.789,0.205,0.44
1999,David Robinson,SAS,0.005,49,31.7,15.8,10.0,2.1,1.4,2.4,0.509,0.0,0.658,0.261,0.74
1999,Hakeem Olajuwon,HOU,0.003,50,35.7,18.9,9.6,1.8,1.6,2.5,0.514,0.308,0.717,0.175,0.62
1999,Arvydas Sabonis,POR,0.003,50,27.0,12.1,7.9,2.4,0.7,1.3,0.485,0.292,0.771,0.207,0.7
1999,Darrell Armstrong,ORL,0.002,50,30.0,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,0.205,0.66
1999,Vince Carter,TOR,0.001,50,35.2,18.3,5.7,3.0,1.1,1.5,0.45,0.288,0.761,0.136,0.46
1999,Anfernee Hardaway,ORL,0.001,50,38.9,15.8,5.7,5.3,2.2,0.5,0.42,0.286,0.706,0.122,0.66
1999,Mark Jackson,IND,0.001,49,28.2,7.6,3.8,7.9,0.9,0.1,0.419,0.311,0.823,0.134,0.66
1999,Glenn Robinson,MIL,0.001,47,33.6,18.4,5.9,2.1,1.0,0.9,0.459,0.392,0.87,0.122,0.56
1999,Steve Smith,ATL,0.001,36,36.5,18.7,4.2,3.3,1.0,0.3,0.402,0.338,0.849,0.162,0.62
1999,Rasheed Wallace,POR,0.001,49,28.9,12.8,4.9,1.2,1.0,1.1,0.508,0.419,0.732,0.169,0.7
2000,Shaquille O'Neal,LAL,0.998,79,40.0,29.7,13.6,3.8,0.5,3.0,0.574,0.0,0.524,0.283,0.817
2000,Kevin Garnett,MIN,0.337,81,40.0,22.9,11.8,5.0,1.5,1.6,0.497,0.37,0.765,0.172,0.61
2000,Alonzo Mourning,MIA,0.303,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0.0,0.711,0.226,0.634
2000,Karl Malone,UTA,0.258,82,35.9,25.5,9.5,3.7,1.0,0.9,0.509,0.25,0.797,0.249,0.671
2000,Tim Duncan,SAS,0.205,74,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.761,0.218,0.646
2000,Gary Payton,SEA,0.149,82,41.8,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,0.195,0.549
2000,Allen Iverson,PHI,0.109,70,40.8,28.4,3.8,4.7,2.1,0.1,0.421,0.341,0.713,0.116,0.598
2000,Grant Hill,DET,0.093,74,37.5,25.8,6.6,5.2,1.4,0.6,0.489,0.347,0.795,0.185,0.512
2000,Chris Webber,SAC,0.079,75,38.4,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.751,0.179,0.537
2000,Vince Carter,TOR,0.042,82,38.1,25.7,5.8,3.9,1.3,1.1,0.465,0.403,0.791,0.182,0.549
2000,Jason Kidd,PHO,0.021,67,39.0,14.3,7.2,10.1,2.0,0.4,0.409,0.337,0.829,0.156,0.646
2000,Kobe Bryant,LAL,0.002,66,38.2,22.5,6.3,4.9,1.6,0.9,0.468,0.319,0.821,0.202,0.817
2000,Darrell Armstrong,ORL,0.001,82,31.6,16.2,3.3,6.1,2.1,0.1,0.433,0.34,0.911,0.149,0.5
2000,Michael Finley,DAL,0.001,82,42.2,22.6,6.3,5.3,1.3,0.4,0.457,0.401,0.82,0.114,0.488
2000,Reggie Miller,IND,0.001,81,36.9,18.1,3.0,2.3,1.0,0.3,0.448,0.408,0.919,0.162,0.683
2000,Jalen Rose,IND,0.001,80,37.2,18.2,4.8,4.0,1.1,0.6,0.471,0.393,0.827,0.118,0.683
2001,Allen Iverson,PHI,0.904,71,42.0,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,0.19,0.683
2001,Tim Duncan,SAS,0.569,82,38.7,22.2,12.2,3.0,0.9,2.3,0.499,0.259,0.618,0.2,0.707
2001,Shaquille O'Neal,LAL,0.466,74,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0.0,0.513,0.245,0.683
2001,Chris Webber,SAC,0.42,70,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,0.186,0.671
2001,Kevin Garnett,MIN,0.122,81,39.5,22.0,11.4,5.0,1.4,1.8,0.477,0.288,0.764,0.176,0.573
2001,Tracy McGrady,ORL,0.052,77,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,0.189,0.524
2001,Karl Malone,UTA,0.017,81,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,0.217,0.646
2001,Jason Kidd,PHO,0.015,77,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,0.15,0.622
2001,Kobe Bryant,LAL,0.009,68,40.9,28.5,5.9,5.0,1.7,0.6,0.464,0.305,0.853,0.196,0.683
2001,David Robinson,SAS,0.006,80,29.6,14.4,8.6,1.5,1.0,2.5,0.486,0.0,0.747,0.246,0.707
2001,Ray Allen,MIL,0.006,82,38.2,22.0,5.2,4.6,1.5,0.2,0.48,0.433,0.888,0.211,0.634
2001,Vince Carter,TOR,0.006,75,39.7,27.6,5.5,3.9,1.5,1.1,0.46,0.408,0.765,0.208,0.573
2001,Paul Pierce,BOS,0.004,82,38.0,25.3,6.4,3.1,1.7,0.8,0.454,0.383,0.745,0.16,0.439
2001,Jerry Stackhouse,DET,0.002,80,40.2,29.8,3.9,5.1,1.2,0.7,0.402,0.351,0.822,0.137,0.39
2001,Michael Finley,DAL,0.001,82,42.0,21.5,5.2,4.4,1.4,0.4,0.458,0.346,0.775,0.119,0.646
2001,Anthony Mason,MIA,0.001,80,40.7,16.1,9.6,3.1,1.0,0.3,0.482,,0.781,0.171,0.61
2001,John Stockton,UTA,0.001,82,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,0.216,0.646
2002,Tim Duncan,SAS,0.757,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,0.257,0.707
2002,Jason Kidd,NJN,0.712,82,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,0.14,0.634
2002,Shaquille O'Neal,LAL,0.552,67,36.1,27.2,10.7,3.0,0.6,2.0,0.579,0.0,0.555,0.262,0.707
2002,Tracy McGrady,ORL,0.31,76,38.3,25.6,7.9,5.3,1.6,1.0,0.451,0.364,0.748,0.189,0.537
2002,Kobe Bryant,LAL,0.078,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,0.199,0.707
2002,Gary Payton,SEA,0.043,82,40.3,22.1,4.8,9.0,1.6,0.3,0.467,0.314,0.797,0.183,0.549
2002,Chris Webber,SAC,0.029,54,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,0.2,0.744
2002,Dirk Nowitzki,DAL,0.025,76,38.0,23.4,9.9,2.4,1.1,1.0,0.477,0.397,0.853,0.222,0.695
2002,Allen Iverson,PHI,0.023,60,43.7,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,0.126,0.524
2002,Ben Wallace,DET,0.019,80,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,0.19,0.61
2002,Paul Pierce,BOS,0.017,82,40.3,26.1,6.9,3.2,1.9,1.0,0.442,0.404,0.809,0.187,0.598
2002,Kevin Garnett,MIN,0.013,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,0.194,0.61
2002,Michael Jordan,WAS,0.013,60,34.9,22.9,5.7,5.2,1.4,0.4,0.416,0.189,0.79,0.075,0.451
2002,Steve Nash,DAL,0.004,82,34.6,17.9,3.1,7.7,0.6,0.0,0.483,0.455,0.887,0.167,0.695
2002,Jerry Stackhouse,DET,0.002,76,35.3,21.4,4.1,5.3,1.0,0.5,0.397,0.287,0.858,0.104,0.61
2002,Mike Bibby,SAC,0.001,80,33.2,13.7,2.8,5.0,1.1,0.2,0.453,0.37,0.803,0.113,0.744
2002,Elton Brand,LAC,0.001,80,37.8,18.2,11.6,2.4,1.0,2.0,0.527,,0.742,0.216,0.476
2002,Peja Stojaković,SAC,0.001,71,37.3,21.2,5.3,2.5,1.1,0.2,0.484,0.416,0.876,0.179,0.744
2003,Tim Duncan,SAS,0.808,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,0.248,0.732
2003,Kevin Garnett,MIN,0.732,82,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.751,0.225,0.622
2003,Kobe Bryant,LAL,0.417,82,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.383,0.843,0.21,0.61
2003,Tracy McGrady,ORL,0.359,75,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,0.262,0.512
2003,Shaquille O'Neal,LAL,0.106,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,,0.622,0.25,0.61
2003,Allen Iverson,PHI,0.07,82,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,0.127,0.585
2003,Dirk Nowitzki,DAL,0.036,80,39.0,25.1,9.9,3.0,1.4,1.0,0.463,0.379,0.881,0.249,0.732
2003,Ben Wallace,DET,0.028,73,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,0.176,0.61
2003,Jason Kidd,NJN,0.026,80,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,0.182,0.598
2003,Chris Webber,SAC,0.016,67,39.1,23.0,10.5,5.4,1.6,1.3,0.461,0.238,0.607,0.127,0.72
2003,Jamal Mashburn,NOH,0.001,82,40.5,21.6,6.1,5.6,1.0,0.2,0.422,0.389,0.848,0.13,0.573
2003,Steve Nash,DAL,0.001,82,33.1,17.7,2.9,7.3,1.0,0.1,0.465,0.413,0.909,0.206,0.732
