Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,seed
2025,Cleveland Cavaliers,55,10,.846,—,122.7,111.4,10.26,1
2025,Oklahoma City Thunder,53,12,.815,—,119.7,107.1,12.47,2
2025,Boston Celtics,47,18,.723,8.0,116.9,108.2,8.26,3
2025,Denver Nuggets,42,23,.646,11.0,121.5,116.6,4.82,4
2025,New York Knicks,41,23,.641,13.5,117.1,112.7,3.91,5
2025,Los Angeles Lakers,40,23,.635,12.0,112.9,111.1,1.52,6
2025,Memphis Grizzlies,41,24,.631,12.0,122.6,116.8,5.51,7
2025,Houston Rockets,40,25,.615,13.0,112.9,108.9,4.58,8
2025,Golden State Warriors,37,28,.569,16.0,113.6,111.3,2.57,9
2025,Indiana Pacers,36,28,.563,18.5,116.4,115.4,0.39,10
2025,Milwaukee Bucks,36,28,.563,18.5,114.6,112.5,1.42,11
2025,Minnesota Timberwolves,37,29,.561,16.5,112.8,109.2,4.31,12
2025,Detroit Pistons,37,29,.561,18.5,114.8,112.9,1.30,13
2025,Los Angeles Clippers,35,30,.538,18.0,111.0,108.9,2.08,14
2025,Sacramento Kings,33,31,.516,19.5,116.6,115.2,1.16,15
2025,Dallas Mavericks,33,33,.500,20.5,114.8,114.5,0.96,16
2025,Atlanta Hawks,31,34,.477,24.0,117.3,119.7,-2.24,17
2025,Phoenix Suns,30,35,.462,23.0,114.5,116.5,-2.32,18
2025,Orlando Magic,30,36,.455,25.5,104.3,106.1,-2.28,19
2025,Miami Heat,29,35,.453,25.5,110.0,110.5,-0.92,20
2025,Portland Trail Blazers,28,38,.424,25.5,110.6,114.7,-3.62,21
2025,Chicago Bulls,27,38,.415,28.0,116.6,120.3,-3.76,22
2025,San Antonio Spurs,26,37,.413,26.0,113.7,116.1,-2.22,23
2025,Philadelphia 76ers,22,42,.344,32.5,109.5,114.4,-4.75,24
2025,Brooklyn Nets,22,43,.338,33.0,105.2,111.5,-6.13,25
2025,Toronto Raptors,22,43,.338,33.0,110.7,115.8,-4.23,26
2025,New Orleans Pelicans,18,48,.273,35.5,111.0,119.1,-7.18,27
2025,Charlotte Hornets,16,48,.250,38.5,105.3,112.8,-7.66,28
2025,Utah Jazz,15,50,.231,38.0,112.5,119.8,-6.79,29
2025,Washington Wizards,13,51,.203,41.5,108.3,120.6,-11.62,30
