Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,seed
2006,Detroit Pistons,64,18,.780,—,96.8,90.2,6.24,1
2006,San Antonio Spurs,63,19,.768,—,95.6,88.8,6.69,2
2006,Dallas Mavericks,60,22,.732,3.0,99.1,93.1,5.96,3
2006,Phoenix Suns,54,28,.659,—,108.4,102.8,5.48,4
2006,Miami Heat,52,30,.634,—,99.9,96.0,3.59,5
2006,Cleveland Cavaliers,50,32,.610,14.0,97.6,95.4,2.17,6
2006,New Jersey Nets,49,33,.598,—,93.8,92.4,1.11,7
2006,Memphis Grizzlies,49,33,.598,14.0,92.2,88.5,3.74,8
2006,Los Angeles Clippers,47,35,.573,7.0,97.2,95.6,1.75,9
2006,Los Angeles Lakers,45,37,.549,9.0,99.4,96.9,2.53,10
2006,Sacramento Kings,44,38,.537,10.0,98.9,97.3,1.61,11
2006,Denver Nuggets,44,38,.537,—,100.3,100.1,0.36,12
2006,Washington Wizards,42,40,.512,10.0,101.7,99.8,1.57,13
2006,Utah Jazz,41,41,.500,3.0,92.4,95.0,-2.49,14
2006,Indiana Pacers,41,41,.500,23.0,93.9,92.0,1.62,15
2006,Chicago Bulls,41,41,.500,23.0,97.8,97.2,0.51,16
2006,Milwaukee Bucks,40,42,.488,24.0,97.8,98.8,-1.07,17
2006,New Orleans/Oklahoma City Hornets,38,44,.463,25.0,92.8,95.6,-2.51,18
2006,Philadelphia 76ers,38,44,.463,11.0,99.4,101.3,-2.10,19
2006,Orlando Magic,36,46,.439,16.0,94.9,96.0,-1.26,20
2006,Seattle SuperSonics,35,47,.427,9.0,102.6,105.6,-2.88,21
2006,Golden State Warriors,34,48,.415,20.0,98.5,99.8,-1.11,22
2006,Houston Rockets,34,48,.415,29.0,90.1,91.7,-1.30,23
2006,Minnesota Timberwolves,33,49,.402,11.0,91.7,93.6,-1.75,24
2006,Boston Celtics,33,49,.402,16.0,98.0,99.5,-1.59,25
2006,Toronto Raptors,27,55,.329,22.0,101.1,104.0,-3.03,26
2006,Charlotte Bobcats,26,56,.317,26.0,96.9,100.9,-3.90,27
2006,Atlanta Hawks,26,56,.317,26.0,97.2,102.0,-4.69,28
2006,New York Knicks,23,59,.280,26.0,95.6,102.0,-6.30,29
2006,Portland Trail Blazers,21,61,.256,23.0,88.8,98.3,-8.91,30
2006,Atlantic Division,,,,,,,,31
2006,Central Division,,,,,,,,32
2006,Southeast Division,,,,,,,,33
2006,Northwest Division,,,,,,,,34
2006,Pacific Division,,,,,,,,35
2006,Southwest Division,,,,,,,,36
2007,Dallas Mavericks,67,15,.817,—,100.0,92.8,7.28,1
2007,Phoenix Suns,61,21,.744,—,110.2,102.9,7.28,2
2007,San Antonio Spurs,58,24,.707,9.0,98.5,90.1,8.35,3
2007,Detroit Pistons,53,29,.646,—,96.0,91.8,3.69,4
2007,Houston Rockets,52,30,.634,15.0,97.0,92.1,5.04,5
2007,Utah Jazz,51,31,.622,—,101.5,98.6,3.06,6
2007,Cleveland Cavaliers,50,32,.610,3.0,96.8,92.9,3.33,7
2007,Chicago Bulls,49,33,.598,4.0,98.8,93.8,4.52,8
2007,Toronto Raptors,47,35,.573,—,99.5,98.5,0.61,9
2007,Denver Nuggets,45,37,.549,6.0,105.4,103.7,1.69,10
2007,Miami Heat,44,38,.537,—,94.6,95.5,-1.21,11
2007,Los Angeles Lakers,42,40,.512,19.0,103.3,103.4,0.24,12
2007,Golden State Warriors,42,40,.512,19.0,106.5,106.9,0.00,13
2007,Washington Wizards,41,41,.500,3.0,104.3,104.9,-0.80,14
2007,New Jersey Nets,41,41,.500,6.0,97.6,98.3,-1.00,15
2007,Los Angeles Clippers,40,42,.488,21.0,95.6,96.1,-0.07,16
2007,Orlando Magic,40,42,.488,4.0,94.8,94.0,0.35,17
2007,New Orleans/Oklahoma City Hornets,39,43,.476,28.0,95.5,97.1,-1.19,18
2007,Philadelphia 76ers,35,47,.427,12.0,94.9,98.0,-3.26,19
2007,Indiana Pacers,35,47,.427,18.0,95.6,98.0,-2.62,20
2007,New York Knicks,33,49,.402,14.0,97.5,100.3,-3.06,21
2007,Charlotte Bobcats,33,49,.402,11.0,96.9,100.6,-3.97,22
2007,Sacramento Kings,33,49,.402,28.0,101.3,103.1,-1.35,23
2007,Minnesota Timberwolves,32,50,.390,19.0,96.1,99.7,-3.16,24
2007,Portland Trail Blazers,32,50,.390,19.0,94.1,98.4,-3.78,25
2007,Seattle SuperSonics,31,51,.378,20.0,99.1,102.0,-2.45,26
2007,Atlanta Hawks,30,52,.366,14.0,93.7,98.4,-4.86,27
2007,Milwaukee Bucks,28,54,.341,25.0,99.7,104.0,-4.43,28
2007,Boston Celtics,24,58,.293,23.0,95.8,99.2,-3.70,29
2007,Memphis Grizzlies,22,60,.268,45.0,101.6,106.7,-4.44,30
2007,Atlantic Division,,,,,,,,31
2007,Central Division,,,,,,,,32
2007,Southeast Division,,,,,,,,33
2007,Northwest Division,,,,,,,,34
2007,Pacific Division,,,,,,,,35
2007,Southwest Division,,,,,,,,36
2008,Boston Celtics,66,16,.805,—,100.5,90.3,9.30,1
2008,Detroit Pistons,59,23,.720,—,97.5,90.1,6.67,2
2008,Los Angeles Lakers,57,25,.695,—,108.6,101.3,7.34,3
2008,San Antonio Spurs,56,26,.683,—,95.4,90.6,5.10,4
2008,New Orleans Hornets,56,26,.683,—,100.9,95.6,5.46,5
2008,Houston Rockets,55,27,.671,1.0,96.7,92.0,4.83,6
2008,Phoenix Suns,55,27,.671,2.0,110.1,105.0,5.14,7
2008,Utah Jazz,54,28,.659,—,106.2,99.3,6.86,8
2008,Orlando Magic,52,30,.634,—,104.5,99.0,4.79,9
2008,Dallas Mavericks,51,31,.622,5.0,100.4,95.9,4.70,10
2008,Denver Nuggets,50,32,.610,4.0,110.7,107.0,3.74,11
2008,Golden State Warriors,48,34,.585,9.0,111.0,108.8,2.38,12
2008,Cleveland Cavaliers,45,37,.549,14.0,96.4,96.7,-0.53,13
2008,Washington Wizards,43,39,.524,9.0,98.8,99.2,-0.61,14
2008,Portland Trail Blazers,41,41,.500,13.0,95.4,96.3,-0.52,15
2008,Toronto Raptors,41,41,.500,25.0,100.2,97.3,2.47,16
2008,Philadelphia 76ers,40,42,.488,26.0,96.6,96.2,0.19,17
2008,Sacramento Kings,38,44,.463,19.0,102.5,104.8,-1.86,18
2008,Atlanta Hawks,37,45,.451,15.0,98.2,100.0,-2.23,19
2008,Indiana Pacers,36,46,.439,23.0,104.0,105.4,-1.87,20
2008,New Jersey Nets,34,48,.415,32.0,95.8,100.9,-5.15,21
2008,Chicago Bulls,33,49,.402,26.0,97.3,100.4,-3.19,22
2008,Charlotte Bobcats,32,50,.390,20.0,97.1,101.4,-4.49,23
2008,Milwaukee Bucks,26,56,.317,33.0,97.0,103.9,-6.92,24
2008,Los Angeles Clippers,23,59,.280,34.0,93.8,101.1,-6.56,25
2008,New York Knicks,23,59,.280,43.0,96.9,103.5,-6.55,26
2008,Memphis Grizzlies,22,60,.268,34.0,100.7,106.9,-5.76,27
2008,Minnesota Timberwolves,22,60,.268,32.0,95.6,102.4,-6.26,28
2008,Seattle SuperSonics,20,62,.244,34.0,97.5,106.3,-8.04,29
2008,Miami Heat,15,67,.183,37.0,91.4,100.0,-8.53,30
2008,Atlantic Division,,,,,,,,31
2008,Central Division,,,,,,,,32
2008,Southeast Division,,,,,,,,33
2008,Northwest Division,,,,,,,,34
2008,Pacific Division,,,,,,,,35
2008,Southwest Division,,,,,,,,36
2009,Cleveland Cavaliers,66,16,.805,—,100.3,91.4,8.68,1
2009,Los Angeles Lakers,65,17,.793,—,106.9,99.3,7.11,2
2009,Boston Celtics,62,20,.756,—,100.9,93.4,7.44,3
2009,Orlando Magic,59,23,.720,—,101.0,94.4,6.48,4
2009,San Antonio Spurs,54,28,.659,—,97.0,93.3,3.36,5
2009,Portland Trail Blazers,54,28,.659,—,99.4,94.1,5.00,6
2009,Denver Nuggets,54,28,.659,—,104.3,100.9,3.13,7
2009,Houston Rockets,53,29,.646,1.0,98.4,94.4,3.73,8
2009,Dallas Mavericks,50,32,.610,4.0,101.7,99.8,1.68,9
2009,New Orleans Hornets,49,33,.598,5.0,95.8,94.3,1.41,10
2009,Utah Jazz,48,34,.585,6.0,103.6,100.9,2.31,11
2009,Atlanta Hawks,47,35,.573,12.0,98.1,96.5,1.70,12
2009,Phoenix Suns,46,36,.561,19.0,109.4,107.5,1.62,13
2009,Miami Heat,43,39,.524,16.0,98.3,98.0,0.49,14
2009,Philadelphia 76ers,41,41,.500,21.0,97.4,97.3,0.16,15
2009,Chicago Bulls,41,41,.500,25.0,102.2,102.5,-0.16,16
2009,Detroit Pistons,39,43,.476,27.0,94.2,94.7,-0.36,17
2009,Indiana Pacers,36,46,.439,30.0,105.1,106.2,-0.76,18
2009,Charlotte Bobcats,35,47,.427,24.0,93.6,94.9,-1.20,19
2009,New Jersey Nets,34,48,.415,28.0,98.1,100.5,-2.31,20
2009,Milwaukee Bucks,34,48,.415,32.0,99.3,100.4,-0.88,21
2009,Toronto Raptors,33,49,.402,29.0,99.0,101.9,-2.54,22
2009,New York Knicks,32,50,.390,30.0,105.2,107.8,-2.33,23
2009,Golden State Warriors,29,53,.354,36.0,108.6,112.3,-3.80,24
2009,Minnesota Timberwolves,24,58,.293,30.0,97.8,102.7,-4.74,25
2009,Memphis Grizzlies,24,58,.293,30.0,93.9,99.3,-5.23,26
2009,Oklahoma City Thunder,23,59,.280,31.0,97.0,103.1,-6.04,27
2009,Los Angeles Clippers,19,63,.232,46.0,95.1,103.9,-8.47,28
2009,Washington Wizards,19,63,.232,40.0,96.1,103.5,-6.98,29
2009,Sacramento Kings,17,65,.207,48.0,100.6,109.3,-8.60,30
2009,Atlantic Division,,,,,,,,31
2009,Central Division,,,,,,,,32
2009,Southeast Division,,,,,,,,33
2009,Northwest Division,,,,,,,,34
2009,Pacific Division,,,,,,,,35
2009,Southwest Division,,,,,,,,36
2010,Cleveland Cavaliers,61,21,.744,—,102.1,95.6,6.17,1
2010,Orlando Magic,59,23,.720,—,102.8,95.3,7.12,2
2010,Los Angeles Lakers,57,25,.695,—,101.7,97.0,4.78,3
2010,Dallas Mavericks,55,27,.671,—,102.0,99.3,2.66,4
2010,Phoenix Suns,54,28,.659,3.0,110.2,105.3,4.67,5
2010,Denver Nuggets,53,29,.646,—,106.5,102.4,4.15,6
2010,Atlanta Hawks,53,29,.646,6.0,101.7,97.0,4.44,7
2010,Utah Jazz,53,29,.646,—,104.2,98.9,5.33,8
2010,San Antonio Spurs,50,32,.610,5.0,101.4,96.3,5.07,9
2010,Oklahoma City Thunder,50,32,.610,3.0,101.5,98.0,3.55,10
2010,Portland Trail Blazers,50,32,.610,3.0,98.1,94.8,3.18,11
2010,Boston Celtics,50,32,.610,—,99.2,95.6,3.37,12
2010,Miami Heat,47,35,.573,12.0,96.5,94.2,1.99,13
2010,Milwaukee Bucks,46,36,.561,15.0,97.7,96.0,1.37,14
2010,Charlotte Bobcats,44,38,.537,15.0,95.3,93.8,1.30,15
2010,Houston Rockets,42,40,.512,13.0,102.4,102.7,-0.02,16
2010,Chicago Bulls,41,41,.500,20.0,97.5,99.1,-1.64,17
2010,Memphis Grizzlies,40,42,.488,15.0,102.5,104.0,-1.39,18
2010,Toronto Raptors,40,42,.488,10.0,104.1,105.9,-1.83,19
2010,New Orleans Hornets,37,45,.451,18.0,100.2,102.7,-2.27,20
2010,Indiana Pacers,32,50,.390,29.0,100.8,103.8,-3.11,21
2010,Los Angeles Clippers,29,53,.354,28.0,95.7,102.1,-6.01,22
2010,New York Knicks,29,53,.354,21.0,102.1,105.9,-4.01,23
2010,Philadelphia 76ers,27,55,.329,23.0,97.7,101.6,-3.93,24
2010,Detroit Pistons,27,55,.329,34.0,94.0,99.1,-5.02,25
2010,Golden State Warriors,26,56,.317,31.0,108.8,112.4,-3.28,26
2010,Washington Wizards,26,56,.317,33.0,96.2,101.0,-4.72,27
2010,Sacramento Kings,25,57,.305,32.0,100.0,104.4,-4.06,28
2010,Minnesota Timberwolves,15,67,.183,38.0,98.2,107.8,-9.06,29
2010,New Jersey Nets,12,70,.146,38.0,92.4,101.5,-8.93,30
2010,Atlantic Division,,,,,,,,31
2010,Central Division,,,,,,,,32
2010,Southeast Division,,,,,,,,33
2010,Northwest Division,,,,,,,,34
2010,Pacific Division,,,,,,,,35
2010,Southwest Division,,,,,,,,36
2011,Chicago Bulls,62,20,.756,—,98.6,91.3,6.53,1
2011,San Antonio Spurs,61,21,.744,—,103.7,98.0,5.86,2
2011,Miami Heat,58,24,.707,—,102.1,94.6,6.76,3
2011,Dallas Mavericks,57,25,.695,4.0,100.2,96.0,4.41,4
2011,Los Angeles Lakers,57,25,.695,—,101.5,95.4,6.01,5
2011,Boston Celtics,56,26,.683,—,96.5,91.1,4.83,6
2011,Oklahoma City Thunder,55,27,.671,—,104.8,101.0,3.81,7
2011,Orlando Magic,52,30,.634,6.0,99.2,93.7,4.92,8
2011,Denver Nuggets,50,32,.610,5.0,107.5,102.7,4.81,9
2011,Portland Trail Blazers,48,34,.585,7.0,96.3,94.8,1.85,10
2011,Memphis Grizzlies,46,36,.561,15.0,99.9,97.6,2.55,11
2011,New Orleans Hornets,46,36,.561,15.0,94.9,94.0,1.28,12
2011,Atlanta Hawks,44,38,.537,14.0,95.0,95.8,-1.10,13
2011,Houston Rockets,43,39,.524,18.0,105.9,103.7,2.37,14
2011,New York Knicks,42,40,.512,14.0,106.5,105.7,0.48,15
2011,Philadelphia 76ers,41,41,.500,15.0,99.0,97.5,1.01,16
2011,Phoenix Suns,40,42,.488,17.0,105.0,105.9,-0.46,17
2011,Utah Jazz,39,43,.476,16.0,99.4,101.3,-1.44,18
2011,Indiana Pacers,37,45,.451,25.0,99.8,100.9,-1.38,19
2011,Golden State Warriors,36,46,.439,21.0,103.4,105.7,-2.00,20
2011,Milwaukee Bucks,35,47,.427,27.0,91.9,92.7,-1.02,21
2011,Charlotte Bobcats,34,48,.415,24.0,93.3,97.3,-4.08,22
2011,Los Angeles Clippers,32,50,.390,25.0,98.6,101.8,-2.71,23
2011,Detroit Pistons,30,52,.366,32.0,97.0,100.6,-3.78,24
2011,Sacramento Kings,24,58,.293,33.0,99.4,104.7,-4.80,25
2011,New Jersey Nets,24,58,.293,32.0,94.2,100.4,-6.28,26
2011,Washington Wizards,23,59,.280,35.0,97.3,104.7,-7.30,27
2011,Toronto Raptors,22,60,.268,34.0,99.1,105.4,-6.28,28
2011,Cleveland Cavaliers,19,63,.232,43.0,95.5,104.5,-8.88,29
2011,Minnesota Timberwolves,17,65,.207,38.0,101.1,107.7,-5.97,30
2011,Atlantic Division,,,,,,,,31
2011,Central Division,,,,,,,,32
2011,Southeast Division,,,,,,,,33
2011,Northwest Division,,,,,,,,34
